ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
5296	Tiranige-680_liquiddriponedropatatime-1	Tiranige		(liquid) drip (one drop at a time)	dégó, dègúdègù kán(ú)	dégó	d é ɡ ó			0	92	d é ɡ ó
5297	TogoKan-680_liquiddriponedropatatime-1	TogoKan		(liquid) drip (one drop at a time)	léwé, sóró	léwé	l é w é			0	96	l é w é
5298	TommoSoTongoTongo-680_liquiddriponedropatatime-1	TommoSoTongoTongo		(liquid) drip (one drop at a time)	tégé	tégé	t é ɡ é			0	92	t é ɡ é
5299	ToroTegu-680_liquiddriponedropatatime-1	ToroTegu		(liquid) drip (one drop at a time)	lékúrú\\lékúró	lékúró	l é k ú r ó			0	97	l é k ú r ó
5300	YandaDom-680_liquiddriponedropatatime-1	YandaDom		(liquid) drip (one drop at a time)	tégé, sómbó	tégé	t é ɡ é			0	92	t é ɡ é
5301	YornoSo-680_liquiddriponedropatatime-1	YornoSo		(liquid) drip (one drop at a time)	tégé\\tégé xxx[chaining]	tégé	t é ɡ é			0	92	t é ɡ é
8704	BankanTey-712_manmarrywoman-1	BankanTey		(man) marry (woman)	séré, zɛ́	séré	s é r é			0	113	s é r é
8705	BenTey-712_manmarrywoman-1	BenTey		(man) marry (woman)	jɛ̌	jɛ̌	dʒ ɛ̌			0	114	dʒ ɛ̌ - -
8706	Bunoge-712_manmarrywoman-1	Bunoge		(man) marry (woman)	kéldè	kéldè	k é l d è			0	115	k é l d è
8707	DogulDomKundialang-712_manmarrywoman-1	DogulDomKundialang		(man) marry (woman)	ɛ́yyɛ̀	ɛ́yyɛ̀	ɛ́ j j ɛ̀			0	116	ɛ́ j j ɛ̀
8708	DonnoSo-712_manmarrywoman-1	DonnoSo		(man) marry (woman)	jǎ:\\jɛ́ɛ̀	jɛ́-ɛ̀	dʒ ɛ́ - ɛ̀			0	114	dʒ ɛ́ - ɛ̀
8709	Gourou-712_manmarrywoman-1	Gourou		(man) marry (woman)	zɛ́:	zɛ́:	z ɛ́.ɛ́			0	113	z ɛ́.ɛ́ - -
8710	JamsayDouentza-712_manmarrywoman-1	JamsayDouentza		(man) marry (woman)	jɛ̌:, tánáŋá	jɛ̌:	dʒ ɛ̀.ɛ́			0	114	dʒ ɛ̀.ɛ́ - -
8712	Mombo-712_manmarrywoman-1	Mombo		(man) marry (woman)	yɔ̂: kéddè	yɔ̂:_kéddè	j ɔ́.ɔ̀ - k é d d è			0	117	j ɔ́.ɔ̀ - k é d d è
8713	Najamba-712_manmarrywoman-1	Najamba		(man) marry (woman)	jɛ́\\jɛ̀	jɛ́	dʒ ɛ́			0	114	dʒ ɛ́ - -
8714	Nanga-712_manmarrywoman-1	Nanga		(man) marry (woman)	jɛ̌:	jɛ̌:	dʒ ɛ̀.ɛ́			0	114	dʒ ɛ̀.ɛ́ - -
8715	Penange-712_manmarrywoman-1	Penange		(man) marry (woman)	kéldè	kéldè	k é l d è			0	115	k é l d è
8716	PergeTegu-712_manmarrywoman-1	PergeTegu		(man) marry (woman)	jɛ́:	jɛ́:	dʒ ɛ́.ɛ́			0	114	dʒ ɛ́.ɛ́ - -
8717	TebulUre-712_manmarrywoman-1	TebulUre		(man) marry (woman)	zɛ̌ (zɛ̀sɔ́, neg zìyàlí)	zɛ̌	z ɛ̌			0	113	z ɛ̌ - -
8718	Tiranige-712_manmarrywoman-1	Tiranige		(man) marry (woman)	tálám(ú)	tálá-m	t á l á - m			0	118	t á l á - m
8719	TogoKan-712_manmarrywoman-1	TogoKan		(man) marry (woman)	ɲàŋá, jɛ̌:	ɲàŋá	ɲ à ŋ á			0	119	ɲ à ŋ á
8720	TommoSoTongoTongo-712_manmarrywoman-1	TommoSoTongoTongo		(man) marry (woman)	yààná jɛ̀, ɛ́ɛ́ⁿ	yàà-ná_jɛ̀	j à.à - n á - dʒ ɛ̀			0	120	j à.à - n á - dʒ ɛ̀
8721	ToroTegu-712_manmarrywoman-1	ToroTegu		(man) marry (woman)	dàgú\\dàgá	dàgá	d à ɡ á			0	121	d à ɡ á
8722	YandaDom-712_manmarrywoman-1	YandaDom		(man) marry (woman)	zìyɛ́	zìyɛ́	z ì j ɛ́			0	113	z ì j ɛ́
8723	YornoSo-712_manmarrywoman-1	YornoSo		(man) marry (woman)	jɛ̌:\\jɛ̌:	jɛ̌:	dʒ ɛ̀.ɛ́			0	114	dʒ ɛ̀.ɛ́ - -
2713	BankanTey-1141_sbcamelkneel-1	BankanTey		(sb, camel) kneel	túŋgí:	túŋg-í:	t ú ŋɡ - í.í			0	133	t ú ŋɡ - í.í - - -
2714	BenTey-1141_sbcamelkneel-1	BenTey		(sb, camel) kneel	túŋgúyú	túŋgú-yú	t ú ŋɡ ú - j ú			0	133	t ú ŋɡ - ú - j ú
2715	Bunoge-1141_sbcamelkneel-1	Bunoge		(sb, camel) kneel	[[kùnjùgá kò:] mbà ] kúndè	kùnjùgá_kò:_mbà_kúndè	k ù nj ù ɡ á - k ò.ò - mb à - k ú nd è			0	134	k ù nj ù ɡ á - k ò.ò - mb à - k ú nd è
2716	DogulDomBendiely-1141_sbcamelkneel-1	DogulDomBendiely		(sb, camel) kneel	tùŋɛ́	tùŋɛ́	t ù ŋ ɛ́			0	133	t ù ŋ - ɛ́ - - -
2717	DogulDomKundialang-1141_sbcamelkneel-1	DogulDomKundialang		(sb, camel) kneel	túŋyɛ̀	túŋ-yɛ̀	t ú ŋ - j ɛ̀			0	133	t ú ŋ - - - j ɛ̀
2718	DonnoSo-1141_sbcamelkneel-1	DonnoSo		(sb, camel) kneel	tú:ŋè:\\tú:ŋìỳ	tú:ŋ-è:	t ú.ú ŋ - è.è			0	133	t ú.ú ŋ - - - - è.è
2719	Gourou-1141_sbcamelkneel-1	Gourou		(sb, camel) kneel	túŋó	túŋó	t ú ŋ ó			0	133	t ú ŋ - ó - - -
2720	JamsayDouentza-1141_sbcamelkneel-1	JamsayDouentza		(sb, camel) kneel	túŋó	túŋó	t ú ŋ ó			0	133	t ú ŋ - ó - - -
2722	Mombo-1141_sbcamelkneel-1	Mombo		(sb, camel) kneel	sómbá	sómbá	s ó mb á			0	135	s ó mb á
2723	Najamba-1141_sbcamelkneel-1	Najamba		(sb, camel) kneel	ɲàŋíyɛ́	ɲàŋí-yɛ́	ɲ à ŋ í - j ɛ́			0	133	ɲ à ŋ - í - j ɛ́
2724	Nanga-1141_sbcamelkneel-1	Nanga		(sb, camel) kneel	túŋíyí	túŋí-yí	t ú ŋ í - j í			0	133	t ú ŋ - í - j í
2725	PergeTegu-1141_sbcamelkneel-1	PergeTegu		(sb, camel) kneel	túŋgúyɔ́	túŋgú-yɔ́	t ú ŋɡ ú - j ɔ́			0	133	t ú ŋɡ - ú - j ɔ́
2726	TebulUre-1141_sbcamelkneel-1	TebulUre		(sb, camel) kneel	túnjí: (túnjí:yà, stative túŋgà)	túnj-í:-yà	t ú nj - í.í - j à			0	133	t ú nj - í.í - j à
2727	Tiranige-1141_sbcamelkneel-1	Tiranige		(sb, camel) kneel	yáŋ(í)yó	yáŋí-yó	j á ŋ í - j ó			0	133	j á ŋ - í - j ó
2728	TogoKan-1141_sbcamelkneel-1	TogoKan		(sb, camel) kneel	túŋì:\\túŋɛ́:	túŋ-ɛ́:	t ú ŋ - ɛ́.ɛ́			0	133	t ú ŋ - - - - ɛ́.ɛ́
2729	TommoSoTongoTongo-1141_sbcamelkneel-1	TommoSoTongoTongo		(sb, camel) kneel	túŋíyɛ́	túŋí-yɛ́	t ú ŋ í - j ɛ́			0	133	t ú ŋ - í - j ɛ́
2732	ToroTegu-1141_sbcamelkneel-1	ToroTegu		(sb, camel) kneel	gùrùkú\\gùrùkó	gùrùkó	ɡ ù r ù k ó			0	136	ɡ ù r ù k ó
2733	YandaDom-1141_sbcamelkneel-1	YandaDom		(sb, camel) kneel	túnjɔ́\\túnjálì	túnjɔ́	t ú nj ɔ́			0	133	t ú nj - ɔ́ - - -
2734	YornoSo-1141_sbcamelkneel-1	YornoSo		(sb, camel) kneel	túŋɛ́:\\túŋí:	túŋ-ɛ́:	t ú ŋ - ɛ́.ɛ́			0	133	t ú ŋ - - - - ɛ́.ɛ́
12977	BankanTey-1142_sbmammalbitesb-1	BankanTey		(sb, mammal) bite (sb)	kúwó	kúwó	k ú w ó			1	153	k ú w ó
12978	BenTey-1142_sbmammalbitesb-1	BenTey		(sb, mammal) bite (sb)	kúwó	kúwó	k ú w ó			1	153	k ú w ó
12979	Bunoge-1142_sbmammalbitesb-1	Bunoge		(sb, mammal) bite (sb)	núnjè	núnjè	n ú nj è			1	154	n ú nj è
12980	DonnoSo-1142_sbmammalbitesb-1	DonnoSo		(sb, mammal) bite (sb)	kɛ́rɛ̀\\kɛ́rɛ̀	kɛ́rɛ̀	k ɛ́ r ɛ̀			1	155	k ɛ́ r ɛ̀
12981	Gourou-1142_sbmammalbitesb-1	Gourou		(sb, mammal) bite (sb)	kɛ́rɛ́	kɛ́rɛ́	k ɛ́ r ɛ́			1	155	k ɛ́ r ɛ́
