ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
13726	PergeTegu-357_egfallentreeimpedeblockthepassageofsb-1	PergeTegu		(e.g. fallen tree) impede, block the passage of (sb)	pálɛ́	pál-ɛ́	p á l - ɛ́			0	119	p á l - ɛ́
13727	TogoKan-357_egfallentreeimpedeblockthepassageofsb-1	TogoKan		(e.g. fallen tree) impede, block the passage of (sb)	dùŋó	dùŋ-ó	d ù ŋ - ó			0	120	d ù ŋ - ó
13728	TommoSoTongoTongo-357_egfallentreeimpedeblockthepassageofsb-1	TommoSoTongoTongo		(e.g. fallen tree) impede, block the passage of (sb)	tíndíyé	tínd-íyé	t í nd - í j é			0	121	t í nd - í j é
13729	ToroTegu-357_egfallentreeimpedeblockthepassageofsb-1	ToroTegu		(e.g. fallen tree) impede, block the passage of (sb)	pálà kárⁿú\\kárⁿá	kár-.∼á	k á r - <<∼>> á			0	122	k á r - <<∼>> á
13730	ToroTegu-357_egfallentreeimpedeblockthepassageofsb-2	ToroTegu		(e.g. fallen tree) impede, block the passage of (sb)	pálà kárⁿú\\kárⁿá	kár-.∼á	k á r - <<∼>> á			0	122	k á r - <<∼>> á
13731	YandaDom-357_egfallentreeimpedeblockthepassageofsb-1	YandaDom		(e.g. fallen tree) impede, block the passage of (sb)	íbé\\ìbèlí	íb-é	í b - é			0	123	í b - é
13732	YandaDom-357_egfallentreeimpedeblockthepassageofsb-2	YandaDom		(e.g. fallen tree) impede, block the passage of (sb)	íbé\\ìbèlí	íb-é	í b - é			0	123	í b - é
13733	YornoSo-357_egfallentreeimpedeblockthepassageofsb-1	YornoSo		(e.g. fallen tree) impede, block the passage of (sb)	tí:ⁿ\\tí:ⁿ	tí-íⁿ	t í - í ∼			0	124	t í - í ∼
17117	BankanTey-402_egmetallicsurfaceshinebeshiny-1	BankanTey		(e.g. metallic surface) shine, be shiny	tálí	tál-í	t á l - í			0	137	t á l - í
17118	BenTey-402_egmetallicsurfaceshinebeshiny-1	BenTey		(e.g. metallic surface) shine, be shiny	cɛ́rⁿíyⁿí, kɛ́rⁿíyⁿí	tʃɛ́r.∼íj.∼í	t ʃ ɛ́ r <<∼>> í dʒ <<∼>> í			0	138	t ʃ ɛ́ r <<∼>> í dʒ <<∼>> í
17119	BenTey-402_egmetallicsurfaceshinebeshiny-2	BenTey		(e.g. metallic surface) shine, be shiny	cɛ́rⁿíyⁿí, kɛ́rⁿíyⁿí	kɛ́-r.∼íj.∼í	k ɛ́ - r <<∼>> í dʒ <<∼>> í			0	147	k ɛ́ - r <<∼>> í dʒ <<∼>> í
17123	JamsayDouentza-402_egmetallicsurfaceshinebeshiny-1	JamsayDouentza		(e.g. metallic surface) shine, be shiny	á:rⁿá, dò:ró, káŋárⁿá	á-ár-∼á	á - á r - <<∼>> á			0	139	á - á r - <<∼>> á
17124	JamsayDouentza-402_egmetallicsurfaceshinebeshiny-2	JamsayDouentza		(e.g. metallic surface) shine, be shiny	á:rⁿá, dò:ró, káŋárⁿá	dò-.òró	d ò - ò r ó			0	144	d ò - ò r ó
