ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
15868	BenTey-3576_doforgingdoablacksmithswork-1	BenTey		do forging, do a blacksmith's work	dùwɔ́ dùwɔ́	dùw-ɔ́-dùw-ɔ́	d ù w - ɔ́ - d ù w - ɔ́			0	1 7 6 0 7 0 1 7 6 0 7	AXMBYBCYMBZ	TYW0U0TYW0U	2	2.T.C 2.Y.V 2.W.c 2.0.C 2.U.V 2.0.C 2.T.C 2.Y.V 2.W.c 2.0.C 2.U.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	dùw-ɔ́-dùw-ɔ́	0	2310
15873	JamsayDouentza-3576_doforgingdoablacksmithswork-1	JamsayDouentza		do forging, do a blacksmith's work	dùwɔ́ dùwɔ́	dùw-ɔ́-dùw-ɔ́	d ù w - ɔ́ - d ù w - ɔ́			0	1 7 6 0 7 0 1 7 6 0 7	AXMBYBCYMBZ	TYW0U0TYW0U	3	3.T.C 3.Y.V 3.W.c 3.0.C 3.U.V 3.0.C 3.T.C 3.Y.V 3.W.c 3.0.C 3.U.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	dùw-ɔ́-dùw-ɔ́	0	2310
15874	Mombo-3576_doforgingdoablacksmithswork-1	Mombo		do forging, do a blacksmith's work	dɔ́zí dɔ́zɛ́	dɔ́z-í-dɔ́z-ɛ́	d ɔ́ z - í - d ɔ́ z - ɛ́			0	1 7 3 0 7 0 1 7 3 0 7	AXMBYBCYMBZ	TUS0I0TUS0E	4	4.T.C 4.U.V 4.S.c 4.0.C 4.I.V 4.0.C 4.T.C 4.U.V 4.S.c 4.0.C 4.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	dɔ́z-í-dɔ́z-ɛ́	0	2310
15875	Najamba-3576_doforgingdoablacksmithswork-1	Najamba		do forging, do a blacksmith's work	dùbìŋgán dùbɛ́	dùb-ì-ŋɡ-á-nd-ùbɛ́	d ù b - ì - ŋ ɡ - á - nd - ù b ɛ́			0	1 7 1 0 7 0 4 1 0 7 0 4 0 7 1 7	AXMBYBYMBYBYBYBZ	TYP0I0NK0A0N0YPE	5	5.T.C 5.Y.V 5.P.c 5.0.C 5.I.V 5.0.C 5.N.V 5.K.c 5.0.C 5.A.V 5.0.C 5.N.V 5.0.C 5.Y.V 5.P.C 5.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.1 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	dùb-ì-ŋɡ-á-nd-ùbɛ́	0	2311
15876	Nanga-3576_doforgingdoablacksmithswork-1	Nanga		do forging, do a blacksmith's work	dùwâ dùwɔ́	dùwâ-dùwɔ́	d ù w â - d ù w ɔ́			0	1 7 6 7 0 1 7 6 7	AXBYBCYBZ	TYWA0TYWU	6	6.T.C 6.Y.V 6.W.C 6.A.V 6.0.C 6.T.C 6.Y.V 6.W.C 6.U.V	2.0 1.5 1.75 1.3 1.75 1.5 1.3 1.75 0.8	dùwâ-dùwɔ́	0	2310
15878	PergeTegu-3576_doforgingdoablacksmithswork-1	PergeTegu		do forging, do a blacksmith's work	dùwɔ́ dùwɔ́	dùw-ɔ́-dùw-ɔ́	d ù w - ɔ́ - d ù w - ɔ́			0	1 7 6 0 7 0 1 7 6 0 7	AXMBYBCYMBZ	TYW0U0TYW0U	7	7.T.C 7.Y.V 7.W.c 7.0.C 7.U.V 7.0.C 7.T.C 7.Y.V 7.W.c 7.0.C 7.U.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	dùw-ɔ́-dùw-ɔ́	0	2310
15880	TogoKan-3576_doforgingdoablacksmithswork-1	TogoKan		do forging, do a blacksmith's work	dùwɔ́ dùwɔ́	dùw-ɔ́-dùw-ɔ́	d ù w - ɔ́ - d ù w - ɔ́			0	1 7 6 0 7 0 1 7 6 0 7	AXMBYBCYMBZ	TYW0U0TYW0U	8	8.T.C 8.Y.V 8.W.c 8.0.C 8.U.V 8.0.C 8.T.C 8.Y.V 8.W.c 8.0.C 8.U.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 1.3 1.1 1.75 0.8	dùw-ɔ́-dùw-ɔ́	0	2310
15881	TommoSoTongoTongo-3576_doforgingdoablacksmithswork-1	TommoSoTongoTongo		do forging, do a blacksmith's work	dùbɔ́	dùb-ɔ́	d ù b - ɔ́			0	1 7 1 0 7	AXMBZ	TYP0U	9	9.T.C 9.Y.V 9.P.c 9.0.C 9.U.V	2.0 1.5 1.1 1.75 0.8	dùb-ɔ́	0	2309
15882	ToroTegu-3576_doforgingdoablacksmithswork-1	ToroTegu		do forging, do a blacksmith's work	dúwɔ́ dǔw\\dùwɔ́	dùw-ɔ́	d ù w - ɔ́			0	1 7 6 0 7	AXMBZ	TYW0U	10	10.T.C 10.Y.V 10.W.c 10.0.C 10.U.V	2.0 1.5 1.1 1.75 0.8	dùw-ɔ́	0	2309
15883	ToroTegu-3576_doforgingdoablacksmithswork-2	ToroTegu		do forging, do a blacksmith's work	dúwɔ́ dǔw\\dùwɔ́	dùw-ɔ́	d ù w - ɔ́			0	1 7 6 0 7	AXMBZ	TYW0U	10	10.T.C 10.Y.V 10.W.c 10.0.C 10.U.V	2.0 1.5 1.1 1.75 0.8	dùw-ɔ́	1	2309
15884	YandaDom-3576_doforgingdoablacksmithswork-1	YandaDom		do forging, do a blacksmith's work	dùbà dùbɔ́	dùbà-dùbɔ́	d ù b à - d ù b ɔ́			0	1 7 1 7 0 1 7 1 7	AXBYBCYBZ	TYPA0TYPU	11	11.T.C 11.Y.V 11.P.C 11.A.V 11.0.C 11.T.C 11.Y.V 11.P.C 11.U.V	2.0 1.5 1.75 1.3 1.75 1.5 1.3 1.75 0.8	dùbà-dùbɔ́	0	2310
