ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
TommoSoTongoTongo-2762_calf-1,,TommoSoTongoTongo,2762_calf,"nàà íí, ɔ̀líí nàà",nàà_í-í,n à à + í + í,,heathdogon,,,,,n à.à + í + í,n à.à + ú + l + û m,n à à + ú + l + û m,nàà_ú-l-ûm,
TomoKanDiangassagou-2762_calf-1,,TomoKanDiangassagou,2762_calf,nàŋàdòmbè,nàŋà_dòmbè,n à ŋ à + d ò ⁿb è,,heathdogon,,,,,n à ŋ à + d ò ⁿb è,n à ŋ à + d ò ⁿb è w é,n à ŋ à + d ò ⁿb è w é,nàŋà_dòmbè=wé,
TomoKanSegue-2762_calf-1,,TomoKanSegue,2762_calf,nàʔⁿàdòmbéⁿ,nàʔⁿà_dòmbéⁿ,n à ʔ à + d ò ⁿb é ∼,,heathdogon,,,,,n à ʔ à + d ò ⁿb é ∼,n à ʔ à + d ò ⁿb é ∼ w é,n à ʔ à + d ò ⁿb é ∼ w é,nàʔⁿà_dòmbéⁿ=wé,
ToroTegu-2762_calf-1,,ToroTegu,2762_calf,nàŋà[ìrⁿí:],nàŋà-ìrⁿ-í:,n à ŋ à + ì r ∼ + íː,,heathdogon,,,,,n à ŋ à + ì r ∼ + íː,n à ŋ à + ì m + íː,n à ŋ à + ì m + íː,nàŋà_ìm-í:,
YandaDom-2762_calf-1,,YandaDom,2762_calf,nǎyyè\\mù,nǎ_yyè,n ǎ + j j è,,heathdogon,,,,,n ǎ + j j è,n a + j j e + m ù,n a + j j e + m ù,na_yye-mù,
YornoSo-2762_calf-1,,YornoSo,2762_calf,nà:î:,nà:_î:,n àː + îː,,heathdogon,,,,,n àː + îː,n àː + ú r ∼ ù + m,n àː + ú r ∼ ù + m,nà:_úrⁿù-m,
BenTey-3227_cowfemale-1,,BenTey,3227_cowfemale,nà: yǎm,nà:_yǎ-m,n àː + j ǎ + m,,heathdogon,,,,,n àː + j ǎ + m,n àː + j ǎ,n àː + j ǎ,nà:_yǎ,
JamsayDouentza-3227_cowfemale-1,,JamsayDouentza,3227_cowfemale,nàŋàná:,nàŋà_ná:,n à ŋ à + n áː,,heathdogon,,,,,n à ŋ à + n áː,n à ŋ à + n áː b é,n à ŋ à + n áː b é,nàŋà_ná:=bé,
Mombo-3227_cowfemale-1,,Mombo,3227_cowfemale,ná: yɔ̀:,ná:_yɔ̀:,n áː + j ɔ̀ː,,heathdogon,,,,,n áː + j ɔ̀ː,n áː + j ɔ̀ː b è,n áː + j ɔ̀ː b è,ná:_yɔ̀:=bè,
Najamba-3227_cowfemale-1,,Najamba,3227_cowfemale,nɛ̀: yɛ̌:\\nàwò: yàwó:,nɛ̀:_yɛ̌:,n ɛ̀ː + j ɛ̌ː,,heathdogon,,,,,n ɛ̀ː + j ɛ̌ː,n à w òː + j à w óː,n à w òː + j à w óː,nàwò:_yàwó:,
Nanga-3227_cowfemale-1,,Nanga,3227_cowfemale,nàŋà yǎ:,nàŋà_yǎ:,n à ŋ à + j ǎː,,heathdogon,,,,,n à ŋ à + j ǎː,n à ŋ à + j ǎː,n à ŋ à + j ǎː,nàŋà_yǎ:,
TogoKan-3227_cowfemale-1,,TogoKan,3227_cowfemale,nàŋà ná:,nàŋà_ná:,n à ŋ à + n áː,,heathdogon,,,,,n à ŋ à + n áː,n à ŋ à + n áː b è,n à ŋ à + n áː b è,nàŋà_ná:=bè,
TommoSoTongoTongo-3227_cowfemale-1,,TommoSoTongoTongo,3227_cowfemale,nàà yàá,nàà_yàá,n à à + j à á,,heathdogon,,,,,n à.à + j à.á,n à.à + j à.á ⁿb è,n à à + j à á ⁿb è,nàà_yàá=mbè,
ToroTegu-3227_cowfemale-1,,ToroTegu,3227_cowfemale,nàŋàyá,nàŋà-yá,n à ŋ à + j á,,heathdogon,,,,,n à ŋ à + j á,n à ŋ à + j á m <<ă>>,n à ŋ à + j á m <<ă>>,nàŋà-yá=mă,
